ndvi,evi,b1mean,b2mean,b3mean,b4mean,LST,b1sr,b2sr,b3sr,b4sr,b5sr,b6sr,b7sr
0.867519823,0.720479944,1.713064605,33.00872739,23.64335925,2921.254853,301.0557089,0.040983158,0.493758933,0.023269364,0.060188728,0.402771847,0.230050158,0.089100407
0.841063293,0.690116698,2.462051595,33.92043964,23.57433233,2909.354655,301.8411579,0.048854863,0.438468886,0.033691643,0.062396884,0.368138527,0.215808546,0.089899292
0.820995518,0.667479885,1.180145659,33.87199666,23.64437027,2921.568883,302.2735238,0.057941169,0.426347178,0.043874849,0.071444318,0.360838334,0.217194456,0.094513108
0.79485066,0.644230656,2.85119417,33.48877534,23.08121881,2824.05367,302.5977592,0.057546574,0.426995881,0.029496196,0.068602669,0.379986864,0.249934279,0.121455464
0.789661994,0.600296013,4.771591682,34.08874287,22.8167127,2780.611165,303.0665686,0.065691439,0.39297866,0.034291811,0.075016625,0.3885366,0.276588958,0.143209677
0.766077871,0.602619031,1.640856294,33.62692612,23.57990445,2910.972399,303.8686498,0.066769374,0.429293126,0.035626088,0.076355414,0.383014835,0.25774854,0.130215393
0.847103132,0.679541903,3.144642548,33.89862485,23.98511962,2981.606727,303.0405267,0.043353543,0.438919785,0.025256313,0.059906449,0.377372492,0.229904149,0.096619158
0.827896676,0.667226482,2.940870617,33.80210458,23.99499604,2984.044105,303.0466989,0.050417155,0.449768104,0.027060927,0.066067879,0.387693048,0.243339363,0.108966334
0.857869021,0.691341391,1.383178078,33.31517536,23.75101317,2940.345996,302.6313775,0.043764649,0.443932853,0.026703776,0.057995754,0.372889392,0.221077681,0.092753776
0.852070325,0.672633222,0.760441177,33.5178454,23.67640562,2927.291297,302.123314,0.044831145,0.426669771,0.029861221,0.058709466,0.360066183,0.207459237,0.084599924
0.722396343,0.513200985,3.03938186,33.95858422,22.76751745,2772.193049,303.3027119,0.073108602,0.336287366,0.039226344,0.076818817,0.343800806,0.254936559,0.142497043
0.747107981,0.475237089,2.267005335,34.43449159,23.02871669,2817.050337,302.9281818,0.071581,0.356079,0.03857,0.078416,0.368281,0.276308,0.156014
0.7527935,0.583610802,3.748067431,33.63594863,23.36743266,2873.499264,304.4110072,0.066509308,0.399871035,0.034557042,0.073705573,0.366506828,0.25379899,0.13246335
0.749725473,0.559602694,2.477046753,33.13931885,23.05034948,2818.942251,303.2236627,0.09195,0.35155,0.06355,0.0966,0.36685,0.2615,0.14275
0.737612586,0.550353128,1.113554701,33.47992079,23.38503788,2877.62293,304.6383925,0.069427126,0.390781884,0.035715242,0.075286739,0.363172826,0.257148068,0.139827585
0.823830244,0.67057078,1.65552419,33.08884219,23.4608544,2889.557923,302.5150106,0.053272783,0.454724551,0.032989141,0.069612682,0.390354349,0.238444893,0.103947391
0.716293471,0.483118557,2.453759587,34.33109963,23.01869567,2815.439623,303.9391304,0.088049457,0.347692935,0.049064674,0.086331522,0.357390217,0.272665217,0.165968478
0.828011898,0.628063739,2.211617649,33.48605843,23.30576458,2863.158716,303.365,0.078529717,0.398587264,0.056468396,0.085785849,0.363252358,0.245815094,0.124617925
0.695077794,0.531003701,0.812325686,33.43271628,23.05422892,2820.558926,305.5855426,0.078603383,0.382613299,0.041481673,0.081796053,0.359532143,0.265036184,0.152533694
0.839363675,0.697647534,1.010619237,33.52136093,23.78411604,2946.051639,302.5442996,0.052079621,0.473989011,0.030813258,0.068539067,0.406135422,0.244950669,0.106022573
0.826909326,0.662139421,1.569277737,33.08862998,23.6690041,2926.054428,303.0097152,0.047669857,0.450377993,0.026335624,0.062580818,0.385115304,0.233304722,0.099517369
0.798691826,0.566016349,2.39602354,34.3624469,23.02082336,2815.448262,304.5684,0.062758411,0.369805607,0.031657944,0.070311682,0.367059813,0.260529907,0.133953271
0.775331494,0.590608083,0.633256137,33.33433355,23.31823805,2864.652496,302.627874,0.063214635,0.423786814,0.03456792,0.073660311,0.37654907,0.247625551,0.124063554
0.807636914,0.630870091,2.166611456,33.79105556,23.64575405,2922.183495,304.1819799,0.053937282,0.403553286,0.032652708,0.066088665,0.358814495,0.238159876,0.114679544
0.824303519,0.654171835,1.833665057,33.33759872,23.75930032,2941.579357,302.3063927,0.058302282,0.445324437,0.035834402,0.073409128,0.391812478,0.245154593,0.111629838
0.853729858,0.713647956,2.052733657,33.23239724,23.63240623,2919.404754,302.5145691,0.043343648,0.492618994,0.024106315,0.061223597,0.414086252,0.242801907,0.098609679
0.806632315,0.630211501,2.104534195,33.75176704,23.85283863,2958.913915,303.5488737,0.053363184,0.422190112,0.029650239,0.065428868,0.366121172,0.236416906,0.113452618
0.820713908,0.661263041,1.531267815,33.41663587,23.56334857,2907.046202,302.2887422,0.053066563,0.4615897,0.027519829,0.06928891,0.398012776,0.24719536,0.110893196
0.749674548,0.508245528,0.836774987,33.44795566,23.07463186,2823.520878,302.7102797,0.072314617,0.374259626,0.051106328,0.083191266,0.358720588,0.240024064,0.118460339
0.740670732,0.592256459,1.696021669,33.61171449,23.00629641,2811.755371,302.7659868,0.065819039,0.401647043,0.034092606,0.074487061,0.362656932,0.249647505,0.130860628
0.853011204,0.693904538,1.911187266,33.72580348,23.94220248,2974.240403,302.8327064,0.047839798,0.452325542,0.028229641,0.064903858,0.391245012,0.237162839,0.100882866
0.770697125,0.543300639,2.20431372,34.79473082,23.27791683,2859.547445,303.06875,0.081155357,0.345129167,0.055438095,0.086585714,0.342329762,0.249906548,0.137053571
0.712753461,0.539126933,2.365805425,33.73422626,23.37803623,2875.413877,303.3684615,0.074636622,0.423753131,0.038388994,0.085927324,0.409550949,0.280532258,0.143080455
0.776933038,0.600532372,2.594582396,33.72161036,23.80771543,2950.457151,303.7097589,0.064006841,0.423995543,0.033198353,0.075576996,0.392321705,0.264959903,0.132715155
0.74744833,0.519032417,5.861351374,33.99243216,22.80133552,2777.780537,304.4643243,0.076587687,0.347955224,0.044467164,0.078327239,0.350034328,0.25815709,0.148758209
0.887348072,0.727910786,6.387530388,30.00436238,20.24368441,2383.574647,299.9113315,0.027606934,0.432948331,0.014683138,0.045855471,0.358473761,0.199812818,0.070109584
0.775767169,0.616469946,5.445189181,33.09780717,22.34825184,2703.20733,302.0665258,0.066813742,0.38453071,0.045568452,0.079874,0.358840645,0.244345806,0.122444645
0.886503775,0.773642045,6.666551811,31.42450413,20.19279181,2372.039676,301.1847884,0.038014941,0.505547471,0.020585059,0.061885029,0.429261382,0.246905294,0.089971029
0.877131326,0.775842121,2.595294121,28.86798997,17.94661812,2073.793422,300.1190813,0.039312231,0.521855764,0.022090394,0.061419306,0.429139831,0.241572399,0.092185942
0.900847616,0.726485761,7.136690318,29.89817788,19.87854633,2330.002199,299.5316092,0.030438959,0.469664404,0.016839975,0.051895114,0.396698096,0.219360787,0.076007678
0.905773349,0.813764112,5.116755653,28.75818967,18.49797376,2142.726963,299.6376625,0.030564926,0.524799287,0.016827997,0.05237363,0.416214412,0.225173587,0.079469806
0.862041186,0.726361276,6.612236392,31.3367535,21.07356282,2504.456667,300.5527358,0.067247357,0.465166173,0.05348129,0.087510465,0.406371247,0.243332558,0.102269133
0.883125572,0.7898392,2.628755133,28.78521206,18.30736794,2120.744086,299.0004651,0.030450216,0.504289935,0.017679058,0.051001407,0.391767208,0.209747024,0.071064177
0.899462664,0.803722181,5.569425938,30.09857189,19.63451457,2294.512806,300.0487048,0.032235221,0.505434771,0.019501313,0.054167854,0.409476444,0.22410919,0.078610053
0.90987195,0.78738293,4.86733944,29.35023362,18.60362414,2153.413124,300.9144844,0.029104166,0.484103547,0.016278185,0.049602275,0.397837188,0.226467195,0.086736849
0.909473054,0.813237284,6.971018828,30.3757776,19.63961567,2296.25171,300.6533996,0.030339402,0.533981642,0.016853491,0.053174774,0.43246601,0.23926508,0.084261791
0.898261831,0.746911541,11.59728739,30.45221138,19.52022625,2280.249261,300.6456805,0.033055718,0.474493224,0.019699521,0.053487783,0.397851612,0.22216801,0.081636977
0.884912185,0.743444008,11.08663405,31.31157818,19.9882205,2345.209593,300.5299843,0.037784692,0.501555405,0.021313556,0.060810726,0.424289041,0.240006841,0.08738541
0.873633693,0.739006684,6.886333187,31.74104466,20.51695439,2418.702592,301.1676062,0.041644149,0.486938196,0.023164793,0.063425805,0.413314563,0.243196627,0.092296423
0.908714066,0.775724429,10.71134811,30.08998748,19.46899934,2271.878442,300.1212606,0.029059611,0.487490894,0.016635939,0.04999267,0.400312921,0.223304731,0.08183319
0.895758752,0.746653995,11.67034117,30.99827172,19.89795307,2334.418586,300.8299787,0.034200594,0.486874057,0.020185194,0.055952817,0.407934755,0.228874858,0.08399522
0.882325048,0.724445367,12.66070993,30.44680274,19.71190289,2306.367882,300.7917888,0.03554748,0.467756767,0.020572678,0.056211721,0.399538279,0.227837712,0.085798386
0.888322821,0.799077055,3.523463271,28.4441926,17.98373404,2073.408441,300.0084708,0.035550169,0.521821035,0.020770885,0.058401706,0.42621961,0.241820454,0.092315392
0.914022032,0.797520807,3.876086963,29.58631207,18.76893302,2177.869299,300.4759478,0.027942895,0.496833712,0.016043572,0.049296568,0.40804261,0.228618977,0.083323677
0.902521203,0.768985547,6.555171499,29.76676125,19.21997942,2236.992443,300.8673907,0.031930984,0.46836423,0.018302431,0.052421391,0.397038743,0.233535546,0.092953104
0.913059924,0.77874763,9.907609779,29.93115781,18.90308201,2194.064098,300.2250822,0.027599031,0.492505944,0.016216402,0.0493093,0.40022427,0.219199826,0.078039847
0.901152681,0.747620793,9.167239028,31.59234883,20.45037073,2412.443218,300.8007394,0.03311147,0.497685112,0.017532069,0.055784504,0.416900609,0.234838483,0.082661938
0.887517228,0.755571562,12.01733509,30.75084925,19.82079821,2321.040955,300.7137955,0.040256041,0.507965668,0.024575437,0.062708683,0.42054849,0.235605805,0.087796319
0.871595494,0.725462885,9.846496373,31.0737938,19.86094907,2326.029316,300.9082697,0.036408614,0.487320334,0.019152065,0.058739106,0.411471894,0.232468543,0.084347292
0.908942787,0.783632289,5.811431204,29.09141134,18.25174778,2107.554805,300.475607,0.028554908,0.484012633,0.015587689,0.050335581,0.398220406,0.224955649,0.083072723
0.863640902,0.710316562,4.800201805,31.71678115,21.34162592,2544.953412,300.9672506,0.059164627,0.466722613,0.042961016,0.07951839,0.416766983,0.252448042,0.102126928
0.886947991,0.784508102,5.398404954,29.43463958,19.18479115,2235.172874,300.5643631,0.033768325,0.479588396,0.018886873,0.054718957,0.404528871,0.228737523,0.085399332
0.875319303,0.720242539,5.632968434,31.47778626,20.9969584,2494.196219,300.9740244,0.048459981,0.475058463,0.031840472,0.066513275,0.403656234,0.237643895,0.095800937
0.89384844,0.791209767,5.993787331,30.77577843,20.51621062,2420.828568,300.7294627,0.038980949,0.489919549,0.025701669,0.059674361,0.408099328,0.229361487,0.085595817
0.888726387,0.782000129,5.450341346,29.19800346,18.93932695,2197.606727,300.2681934,0.032926412,0.495745697,0.017681648,0.055778529,0.412053301,0.23539893,0.089070287
0.872880845,0.722553003,5.242723862,31.56780862,20.97240186,2488.743633,301.5310251,0.049325405,0.491144929,0.029355332,0.069287402,0.428557972,0.257653555,0.103365055
0.909915691,0.751025186,5.766884176,29.74265213,19.98703239,2347.635429,299.0378021,0.022665245,0.457004512,0.012727789,0.040667027,0.361527672,0.192993896,0.063367932
0.841069095,0.652362335,5.31959747,31.65659463,21.15356034,2519.001272,300.8826316,0.053288938,0.427029204,0.03725354,0.072461504,0.384555752,0.228515044,0.094210177
0.905371645,0.761354342,4.154534895,29.46114796,19.351266,2257.876042,299.6049135,0.023145432,0.465306271,0.013262874,0.041268439,0.361313538,0.19038642,0.062731437
