ndvi,evi,b1mean,b2mean,b3mean,b4mean,LST,b1sr,b2sr,b3sr,b4sr,b5sr,b6sr,b7sr
0.811970759,0.675023689,6.387532931,32.72847235,23.14462017,2838.0535,302.0580683,0.046710745,0.467550883,0.024450385,0.06386772,0.39729101,0.239110938,0.100693263
0.771761659,0.616989447,4.889136375,33.5019674,23.25325403,2856.375898,301.6246442,0.056142521,0.430103669,0.03776223,0.07249285,0.377064205,0.227114675,0.092849059
0.775384415,0.6214,4.863493394,33.45094941,23.22857611,2851.975269,301.9790861,0.052855194,0.395835684,0.037258471,0.067887067,0.344247746,0.208361178,0.085631036
0.817704708,0.597879114,2.399712155,32.31374921,21.92843701,2637.882938,301.9667378,0.048445647,0.456599512,0.024639443,0.062818267,0.38746902,0.239533584,0.107561147
0.71179222,0.601,3.041320644,33.38903113,22.03209344,2657.256999,304.5255882,0.066840051,0.392669898,0.03371926,0.07638023,0.390434184,0.281706888,0.145733418
0.821201579,0.64327301,2.899875626,32.66659058,23.07818262,2825.654797,302.3993905,0.045208572,0.47095766,0.024033457,0.064218368,0.409447604,0.252077782,0.10643091
0.81027664,0.499363588,2.342609876,32.56000428,22.96100056,2806.265508,302.5375642,0.052151773,0.468627825,0.026830651,0.068539931,0.407021413,0.255966994,0.116145748
0.725097467,0.671946297,8.102799229,32.987404,23.13949509,2836.823818,303.6979707,0.053716574,0.392624684,0.030172925,0.065610223,0.347645509,0.224083287,0.103273128
0.734693324,0.664,5.18707517,33.12776775,23.112585,2832.144432,302.9403889,0.05373711,0.391053324,0.030776119,0.066222388,0.351174898,0.218307123,0.095776459
0.642394798,0.566144256,3.717439455,33.33056499,22.05249139,2659.970435,304.3388235,0.06925904,0.331698023,0.034642655,0.072558757,0.344628249,0.264496328,0.151944633
0.68772453,0.617363788,1.522951626,32.22551458,22.30355603,2698.814913,304.5605008,0.083530951,0.440854757,0.042396448,0.090471376,0.415844345,0.30205884,0.170513291
0.731929408,0.566397289,3.273513581,32.93546071,23.12068597,2834.013924,304.1472152,0.055710444,0.402875208,0.029446906,0.067275,0.363207911,0.238173526,0.113116279
0.829845185,0.452827358,4.583504604,32.61339841,23.1177619,2832.936658,302.3915181,0.046489544,0.448114297,0.02539112,0.064045535,0.386766382,0.234796553,0.098144238
0.735220424,0.640544346,5.689255408,32.90467659,23.20350558,2847.810288,303.7714189,0.061501801,0.408234402,0.035862454,0.073297955,0.364419963,0.237591911,0.113140568
0.743368022,0.574717721,10.58510836,33.04108369,21.50681124,2573.921117,303.6073684,0.053526804,0.349599485,0.027599485,0.0665,0.340848969,0.234499485,0.109945361
0.740398624,0.494906654,3.279022703,32.83224914,22.79975274,2780.179862,302.8642898,0.05591774,0.406476984,0.028109722,0.068460615,0.364739801,0.242050145,0.116438118
0.749962869,0.438657941,5.560346731,32.67220944,23.10483388,2831.424012,302.8606491,0.064313198,0.43247485,0.033354545,0.078134472,0.396664098,0.265381657,0.13089234
0.801309278,0.521,6.03449586,32.63736579,23.08097834,2827.019904,303.265937,0.052408324,0.452424973,0.026820294,0.068605403,0.399026477,0.253638129,0.115455754
0.785499097,0.633280375,2.018386924,32.50260232,22.64098141,2752.584999,303.2331066,0.059138073,0.46775387,0.031333352,0.073776055,0.410486893,0.266438913,0.128678677
0.771882338,0.623,5.600383567,32.733531,22.89007264,2795.420083,302.2388048,0.056300796,0.433673335,0.028247724,0.071436621,0.382099019,0.245314212,0.112772576
0.69991644,0.522695507,2.506520756,33.01188781,22.57393985,2742.845616,304.3489147,0.059909686,0.354684225,0.032562731,0.06955655,0.345054151,0.239222786,0.120010701
0.842234626,0.516458149,3.558437812,32.6398442,23.13687373,2836.070993,302.6480508,0.04682998,0.45998501,0.024663242,0.065272961,0.401881543,0.247883419,0.106019381
0.681057669,0.5523,4.850169692,32.67575792,22.4385339,2720.583778,303.1408846,0.071522899,0.394291541,0.0356382,0.081845959,0.389690571,0.276393912,0.142638524
0.719329505,0.69235,4.027805271,32.6213584,22.84957488,2788.546573,303.2024645,0.065246876,0.420001783,0.032579244,0.075639761,0.389934184,0.267292591,0.136383644
0.698138657,0.542725291,5.810665633,33.20046425,21.88908672,2633.458509,303.4878947,0.068825342,0.380208219,0.036590753,0.077114726,0.371969863,0.267181849,0.143800342
0.869384135,0.513360254,4.931153137,31.94951029,21.62730243,2589.959626,301.3443172,0.037580968,0.442042794,0.020989934,0.056959681,0.38090055,0.227121122,0.091033663
0.892880606,0.755727204,6.833300005,30.65116467,19.79576472,2312.303281,299.794225,0.029089676,0.473052932,0.015505271,0.04739713,0.384969339,0.211036089,0.073448097
0.868954184,0.735442413,3.302459121,28.76460823,17.19746436,1835.958476,300.6045487,0.042105403,0.505343175,0.025644597,0.061425498,0.416602322,0.235379289,0.08925455
0.88158393,0.799340592,5.45971614,29.74425443,19.47130294,2271.091987,300.1690698,0.03541522,0.436306008,0.018807944,0.054339119,0.384987049,0.222095327,0.084410748
0.908103712,0.754695282,3.497554974,28.91656327,18.36831284,2123.854181,299.3904325,0.027273853,0.512308549,0.015267435,0.046787039,0.400756643,0.214938005,0.075580935
0.896748998,0.806837262,3.319147065,28.44127735,17.45624367,1968.507309,299.9681786,0.029111354,0.508001069,0.017119501,0.048557524,0.399526224,0.214526447,0.07531309
0.905306856,0.70895501,3.924519929,29.80625988,19.59816509,2289.007339,300.2819355,0.028765041,0.508899181,0.015930938,0.049652234,0.415544937,0.226954542,0.0794914
0.912784504,0.808959198,3.092200867,29.17982636,18.9084929,2191.613026,299.7219743,0.02543627,0.520051568,0.014320979,0.044696146,0.402174149,0.213762454,0.073218969
0.916406302,0.798075494,2.767626969,29.92719881,19.4763271,2270.084012,299.6163317,0.022541935,0.498943967,0.012587577,0.041390655,0.386926447,0.204238353,0.067907646
0.901134277,0.817482007,6.478393828,29.844672,19.44993333,2263.598089,299.1559294,0.030794762,0.480228242,0.017650346,0.050019797,0.391062483,0.211199008,0.07137012
0.891679969,0.814678644,6.943053674,30.38228175,19.60668735,2284.437924,300.1554737,0.025661878,0.451424249,0.013670962,0.043268099,0.362376455,0.195425399,0.065737981
0.883027699,0.78032489,6.495317929,30.86772451,19.8188152,2315.191612,300.7863765,0.032216658,0.476787068,0.017491534,0.049931562,0.389602438,0.219623726,0.079373096
0.681853442,0.798449211,1.8838859,28.70458117,19.14354735,2224.122692,304.4978788,0.074229856,0.337026978,0.053995683,0.083584532,0.319696043,0.223716906,0.119371223
0.892301947,0.793660179,7.114716654,29.98237206,19.62340816,2287.110434,299.6880204,0.035727242,0.484871898,0.020314885,0.054162148,0.392198436,0.212588139,0.074913399
0.899659422,0.782688574,2.420697671,28.50479859,17.55568095,2004.199381,300.0217959,0.035229512,0.518826277,0.022746765,0.054056636,0.413555027,0.228795936,0.08618152
0.911531127,0.779955661,2.887665713,29.47575668,19.01434743,2210.530789,299.558798,0.026139289,0.521838985,0.01487758,0.046045945,0.415210624,0.224955074,0.078553903
0.911475405,0.811349725,4.238066584,29.54129672,19.0121674,2203.387893,299.1068901,0.025212695,0.51021131,0.014913171,0.045983107,0.399333756,0.211673009,0.070139339
0.897237448,0.637120476,7.399732622,30.68567839,19.8619409,2320.900988,300.3002694,0.030578447,0.48238484,0.01617379,0.050563151,0.402727489,0.225661553,0.08079621
0.892812402,0.803240293,4.307053019,30.02376024,19.47536957,2266.813339,299.6782051,0.028068639,0.458921693,0.015655844,0.04528088,0.36958771,0.202604978,0.071518927
0.885846945,0.748817458,4.606928965,30.31191079,19.50228957,2270.544003,299.6342576,0.028136785,0.455986132,0.015039089,0.046419193,0.372682326,0.203634433,0.070871709
0.899125584,0.765586587,3.722708825,29.0949176,18.8232338,2180.441831,300.1759,0.030680172,0.490958352,0.017676772,0.05026426,0.393980269,0.22019584,0.081541729
0.852229009,0.756972845,5.714731527,30.66412978,19.62192117,2287.794083,301.9074083,0.041405275,0.433359539,0.022260581,0.058728585,0.3928247,0.240357454,0.098505338
0.885107389,0.75563543,2.285261886,29.47913132,19.20808217,2238.070203,300.5743836,0.033266447,0.464263622,0.018354298,0.052956828,0.403061369,0.232804697,0.087857192
0.90639158,0.707507146,5.200344175,30.90307692,20.26565197,2380.248449,300.1614685,0.024955556,0.482040508,0.013775143,0.043470857,0.388726508,0.208729905,0.072777841
0.894570087,0.775978056,1.029233545,28.94461846,18.84657118,2183.94668,300.1639405,0.031072454,0.479683598,0.017548511,0.048510447,0.37830987,0.206694116,0.075504395
0.890076768,0.738943296,3.858340599,29.821131,19.75821903,2311.694689,300.3381768,0.041184487,0.474412293,0.025168746,0.061028077,0.407644744,0.239371823,0.093399658
0.867492505,0.738842506,3.374185525,30.86205879,20.51794118,2417.570359,300.5038462,0.03342439,0.424930081,0.017943496,0.051384553,0.386392683,0.225721545,0.089189837
0.888644309,0.796173043,3.703113047,29.61203144,19.23059716,2238.503785,300.4658186,0.033649522,0.469112509,0.019272454,0.053059501,0.392606425,0.22732218,0.088767669
0.895807819,0.712807495,4.431249268,29.23567503,18.71008098,2171.125032,299.8879505,0.029068178,0.501218154,0.016108411,0.049413557,0.401780966,0.221485966,0.080464438
0.899813816,0.774632236,4.145425984,28.85352422,18.83217309,2180.543712,300.3123063,0.02820436,0.477401534,0.015756241,0.047554511,0.382866118,0.213029575,0.077273152
0.852473617,0.796764117,4.923150334,30.96173725,20.02582095,2346.974663,301.8158,0.038857434,0.451880096,0.021341097,0.057220534,0.397469095,0.237479197,0.095214778
0.869444042,0.716142272,7.051492161,30.56662506,19.54229277,2275.633224,301.1472201,0.036728057,0.438186953,0.019602535,0.054573086,0.388611953,0.230402361,0.089281113
0.873995927,0.73595871,4.063168621,28.41850984,16.92124185,1874.962258,299.7536444,0.036391144,0.467424677,0.020521692,0.055030746,0.395444229,0.224573333,0.084477811
0.861369977,0.784096495,2.256581697,31.25755556,20.67347056,2441.602984,301.8667778,0.036704502,0.420425474,0.01916481,0.055200711,0.395956991,0.237073341,0.093963152
0.870860444,0.722837288,3.186820046,28.61064044,17.63915553,2002.860422,300.9808871,0.042373884,0.488234196,0.028055563,0.059952729,0.401313359,0.230993799,0.094054748
0.900588525,0.688445439,2.445254668,28.77724843,18.83135155,2180.990676,300.4044,0.033625961,0.469949185,0.021397156,0.051233077,0.380160621,0.21306597,0.080964464
