ndvi,evi,b1mean,b2mean,b3mean,b4mean,LST,b1sr,b2sr,b3sr,b4sr,b5sr,b6sr,b7sr
0.794452792,0.663176808,0.971629653,33.17706995,23.17559895,2849.393519,301.7486224,0.052307864,0.457204077,0.027863969,0.067789474,0.397196287,0.239075817,0.101939713
0.771874392,0.645794743,1.726556321,34.02027169,22.83505275,2785.864447,302.2967265,0.053686722,0.424159455,0.031453942,0.067079787,0.382009988,0.230557291,0.09598527
0.779323145,0.62318149,1.134911597,33.66186506,22.86868374,2791.785136,302.4788945,0.0472503,0.410438342,0.026061009,0.062143658,0.367938933,0.222086241,0.091347773
0.776977139,0.650441453,1.696908057,33.17602292,22.61907431,2764.337214,302.8935193,0.057582445,0.450998391,0.029372327,0.070360583,0.395707043,0.251981838,0.120093171
0.782047495,0.60589987,2.014581453,34.77272078,22.35434384,2711.813178,303.5392308,0.057214354,0.410232177,0.028516268,0.068313158,0.390930383,0.259662081,0.124437081
0.747173501,0.624209281,2.915198081,33.25703124,22.85903116,2802.528327,302.8619328,0.06580372,0.452861015,0.034530572,0.078311893,0.403643854,0.265679007,0.130503321
0.830512317,0.680891432,2.395490888,33.44621115,22.99158624,2821.803353,301.9875441,0.047232835,0.453887676,0.025712438,0.064264954,0.394333711,0.241757015,0.103056233
0.802039963,0.654010248,3.806110531,33.36925928,22.97917247,2820.877555,302.2532167,0.057079609,0.439757617,0.029948112,0.071465872,0.387691328,0.24650918,0.112640729
0.774337136,0.625367838,0.693420916,33.12363488,23.11153813,2836.262865,302.4418963,0.050706908,0.422065201,0.02709511,0.063749337,0.373944739,0.22737505,0.096850572
0.776390608,0.625458668,0.751323532,33.37972376,23.0046006,2816.610938,301.8477027,0.055555239,0.419749774,0.034786405,0.069169783,0.376107001,0.224361156,0.093905646
0.681072929,0.521061834,2.651777217,34.64803525,22.40858581,2720.972739,303.8502128,0.073901705,0.396066761,0.036098864,0.079431818,0.395942898,0.28822017,0.156444034
0.813336158,0.640351412,2.551176505,34.83342223,22.25438499,2692.914995,303.17,0.047646429,0.378463095,0.027189286,0.064679762,0.367996429,0.238667857,0.102988095
0.768631885,0.640976641,1.927577455,33.19829127,22.71344856,2779.148905,302.7086641,0.059054733,0.449121883,0.03047285,0.072975776,0.393542748,0.252328804,0.121066081
0.736747585,0.571551131,1.322485858,33.33768111,22.39837663,2721.963163,303.5878846,0.067515495,0.399615169,0.034056445,0.076083203,0.385698698,0.266907422,0.136394336
0.72606546,0.563403107,2.552537942,33.33211885,22.82222535,2794.598382,304.0313736,0.073976255,0.406974084,0.038203172,0.081869556,0.380462975,0.266441604,0.141432056
0.757523171,0.628009223,0.649640565,33.38048626,23.00711624,2820.078531,302.8920026,0.05967596,0.451559321,0.032424897,0.074301474,0.403407814,0.254787217,0.11442901
0.686831237,0.554766323,1.30905714,33.27199336,22.52621002,2746.060375,304.1876571,0.0791224,0.427590349,0.040783903,0.087043875,0.394120299,0.279691952,0.155608974
0.807602472,0.653133675,4.450817838,33.35466126,23.13086031,2842.762226,301.6182621,0.057296822,0.467070133,0.031294441,0.07370113,0.419884149,0.263496742,0.117599681
0.733480885,0.595201371,0.432533511,33.15917911,23.09974517,2835.178117,302.2963842,0.06403926,0.444152672,0.037638772,0.077950206,0.400604625,0.252187513,0.1125889
0.775176601,0.638711357,3.943696554,33.68755953,23.00706308,2820.532345,302.3254512,0.055860281,0.435914452,0.028195572,0.071502884,0.389594662,0.247229317,0.110145881
0.809021432,0.661345799,2.649154372,33.24857389,22.81352355,2796.220545,302.7960497,0.05060942,0.423915298,0.028556552,0.064950326,0.371994034,0.237238875,0.109780692
0.764892022,0.609295038,3.167334529,33.43955308,23.27292577,2866.880779,302.1790102,0.062520985,0.430012956,0.03446796,0.075757894,0.397068231,0.256413382,0.12108334
0.78241826,0.620114464,2.500870035,33.27852692,23.16945532,2847.489011,302.1238198,0.05380334,0.454952028,0.029183009,0.070178292,0.40748466,0.253045594,0.11045483
0.808083725,0.657808239,3.483184663,33.32787118,22.94650647,2816.552566,302.0771518,0.054477032,0.456607153,0.029233463,0.069991003,0.396780446,0.249146586,0.113862055
0.791244049,0.645948801,2.587733158,33.60822445,23.16950654,2848.96947,301.7701968,0.055255381,0.441110184,0.028228747,0.071504275,0.388282561,0.24188205,0.107906897
0.741234657,0.578862559,3.602117642,33.90324528,22.7655725,2779.506,303.2967805,0.057466478,0.394805094,0.030384403,0.07285673,0.381189119,0.247534151,0.111879057
0.71306,0.569809421,1.506771173,33.29112971,22.4802202,2739.784787,303.8469163,0.073392012,0.429801598,0.037148462,0.08245858,0.39281568,0.274766627,0.150052899
0.818981728,0.665617698,3.907419063,33.39339761,23.05856644,2832.28709,301.7443525,0.052434494,0.451931038,0.028086402,0.069083346,0.400575811,0.248162001,0.108234494
0.71988553,0.528822343,3.406861943,33.78074878,23.02516288,2825.410055,302.7645455,0.070693978,0.371651436,0.035114199,0.079973646,0.368999448,0.255016409,0.130505414
0.758305324,0.586029916,3.329135526,33.58798802,23.1579776,2849.686585,302.5421698,0.066300781,0.410349523,0.033246804,0.076477018,0.383099523,0.257161166,0.128676815
0.776172222,0.578920115,2.56273452,34.80767853,22.32290928,2706.045021,303.8016216,0.061833221,0.410932215,0.031350336,0.071965772,0.398469463,0.267517785,0.133671477
0.893172954,0.730189533,1.70707837,31.59758372,19.31510236,2266.334884,301.6584335,0.041702486,0.473253907,0.022905383,0.058068131,0.416140636,0.245315252,0.096863028
0.817771526,0.680558254,1.363495122,32.92866263,21.75939598,2631.949896,304.1633184,0.065577697,0.371851292,0.035908034,0.075359045,0.364058596,0.263643764,0.145750112
0.893240036,0.808155101,6.013398035,32.37639599,20.04907441,2373.870142,301.1398985,0.036976233,0.473355563,0.019532396,0.054854362,0.408303066,0.237034418,0.091468173
0.834030077,0.694311789,8.762039224,26.9103959,15.84542485,1820.138185,299.6355873,0.044501787,0.427354904,0.025247423,0.063397465,0.377819825,0.232800956,0.098136783
0.891486729,0.711986122,2.588685554,31.51918296,18.78546114,2195.61044,301.1245679,0.04312042,0.46288965,0.023855105,0.060687552,0.416088671,0.245098601,0.097131049
0.91041827,0.816324108,7.19574004,28.22932199,16.45721376,1893.421787,299.3911442,0.029269481,0.507544529,0.016385934,0.051293974,0.41325511,0.228133921,0.080061052
0.874749481,0.738160342,3.959012084,32.56143281,20.71052793,2468.582801,301.5897436,0.036978395,0.420532593,0.019956543,0.052532099,0.368374074,0.214081605,0.08217037
