County,COUNTYNS1,Yield
LINCOLN,1581094,3.07688925
MANITOWOC,1581095,3.52827125
MARATHON,1581096,3.2655255
MARINETTE,1581097,3.522555
MARQUETTE,1581098,3.786175
MILWAUKEE,1581100,3.7559125
MONROE,1581101,3.36821625
OCONTO,1581102,3.72289275
OUTAGAMIE,1581104,3.2657945
OZAUKEE,1581105,3.5296835
PEPIN,1581106,3.26263375
PIERCE,1581107,3.1482415
POLK,1581108,3.24878025
PORTAGE,1581109,3.30822925
PRICE,1581110,3.7645205
RACINE,1581111,3.2090355
RICHLAND,1581112,3.1030495
ROCK,1581113,3.30392525
RUSK,1581114,3.16148975
SAUK,1581115,3.11764275
SAWYER,1581116,3.0282675
SHAWANO,1581117,2.87191125
SHEBOYGAN,1581118,3.24340025
TAYLOR,1581119,3.2663325
TREMPEALEAU,1581120,3.31656825
VERNON,1581121,3.03936375
WALWORTH,1581123,3.65752575
WASHBURN,1581124,3.6633765
WASHINGTON,1581125,3.573396
WAUKESHA,1581126,3.135464
WAUPACA,1581127,3.2496545
WAUSHARA,1581128,3.28509525
WINNEBAGO,1581129,3.397201
WOOD,1581130,3.838899
