County,COUNTYNS1,Yield
WARRICK,450335,4.21785275
WASHINGTON,451665,3.63156725
WAYNE,450336,3.79511925
WELLS,450337,3.74764075
WHITE,450338,3.736948
WHITLEY,450369,3.94892
ALLAMAKEE,465192,3.56377925
AUDUBON,465194,3.645219
BENTON,465195,3.85066775
BLACK HAWK,465196,3.9358735
BOONE,465197,3.7384275
BUCHANAN,465199,3.509374
BUTLER,465201,3.2518065
CALHOUN,465202,3.58893075
CARROLL,465203,3.21663475
CASS,465204,3.363845
CEDAR,465205,3.74844775
CERRO GORDO,465206,3.52490875
CHEROKEE,465207,3.696598
CHICKASAW,465208,3.5649225
CLARKE,465209,3.73230775
CLAY,465625,3.38812225
CLAYTON,465210,3.49262875
CLINTON,465211,3.55759225
CRAWFORD,465212,4.026661
DALLAS,465213,3.6991535
DAVIS,465214,3.8818045
DECATUR,465215,3.5681505
DELAWARE,465216,3.2410465
DES MOINES,465217,3.74064675
DICKINSON,465218,3.70567675
EMMET,465220,3.79579175
FAYETTE,465221,3.88173725
FLOYD,465222,3.331027
FRANKLIN,465223,3.36673675
FREMONT,465224,3.762234
GREENE,465225,3.8403785
GRUNDY,465226,3.750667
GUTHRIE,465227,3.68590525
HAMILTON,465228,3.57494275
HANCOCK,465229,3.528204
HARDIN,465230,3.65927425
HARRISON,465231,3.56377925
HENRY,465232,3.7255155
HOWARD,465233,3.24313125
HUMBOLDT,465234,3.75557625
IDA,465235,3.1261835
IOWA,465236,3.29525
JACKSON,465237,3.7634445
JEFFERSON,465239,3.35422825
JOHNSON,465240,3.8933715
JONES,465241,3.7524155
KEOKUK,465242,3.66344375
KOSSUTH,465243,3.790748
LEE,465244,3.7889995
LOUISA,465246,3.5729925
LUCAS,465247,3.45281675
LYON,465248,3.63896475
MADISON,465249,3.6375525
MILLS,465253,3.7661345
MITCHELL,465254,3.626658
MONONA,465255,3.73405625
MONROE,465256,3.597337
MONTGOMERY,465257,3.93594075
MUSCATINE,465258,3.2181815
PAGE,465261,4.17239175
POCAHONTAS,465264,3.28603675
POLK,465265,3.811999
POTTAWATTAMIE,465266,3.67810425
POWESHIEK,465267,3.837823
RINGGOLD,465268,3.46102125
SAC,465269,3.708165
SCOTT,465270,4.03385675
SHELBY,465271,4.1970725
STORY,465273,3.67944925
TAMA,465274,3.8750795
TAYLOR,465275,3.5988165
UNION,465276,3.84340475
VAN BUREN,465277,3.652751
WAPELLO,465278,3.33364975
WARREN,465279,3.4134755
WASHINGTON,465280,3.82188475
WAYNE,465281,3.8530215
WEBSTER,465282,3.43331425
WINNEBAGO,465283,3.5353325
WINNESHIEK,465284,3.59310025
WOODBURY,465285,3.52759875
WORTH,465286,3.3887275
WRIGHT,465287,3.56485525
ALLEN,484970,3.33902975
ATCHISON,484972,3.70352475
BARTON,484974,3.7177145
BROWN,484976,3.3473015
BUTLER,484977,3.613208
CHASE,484978,3.61825175
CHEROKEE,484980,3.88348575
CHEYENNE,484981,3.57682575
CLAY,484983,3.356313
CLOUD,484984,2.6928245
COFFEY,484985,2.81178975
COWLEY,484987,3.4444105
CRAWFORD,484988,3.000157
DICKINSON,484990,2.6226155
DONIPHAN,484991,3.80641725
DOUGLAS,484992,2.834722
EDWARDS,484993,2.81326925
ELLSWORTH,484996,2.70271025
FORD,484997,3.612939
FRANKLIN,484998,3.41825025
GEARY,484999,3.54118325
GREENWOOD,485003,2.7530805
HARPER,485004,2.71737075
HARVEY,485005,2.43344125
HASKELL,485328,3.1463585
